Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
92666,SONIQ,E43V15C-NZ,E43V15C-XX,"Australia,Fiji,New Zealand",China,107.987,4982.7128,LCD (LED),0.308,0.0,0.0,42.7,,,200.0,Approved,2020-08-20,,Single product class,Available,5.0,,,5.37413144068109,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1562
92666,SONIQ,E43V15C-XX,E43V15C-XX,"Australia,Fiji,New Zealand",China,107.987,4982.7128,LCD (LED),0.308,0.0,0.0,42.7,,,200.0,Approved,2020-08-20,,Single product class,Available,5.0,,,5.37413144068109,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1562
92668,KOGAN,KALED55XXXZC,,Australia,China,138.783,8230.1184,LCD (LED),0.29,0.0,0.0,90.8,,,350.0,Approved,2020-09-03,,Single product class,Available,4.5,,,4.8917719402655,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1575
92676,BAUHN,ATVS65-815,,"Australia,New Zealand",China,163.897,11477.9975,LCD (LED),0.43,0.0,0.0,189.8,,,695.0,Approved,2020-08-19,,Single product class,Unavailable,3.0,,http://www.tempoaustralia.com,3.20771208347768,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1561
92859,TCL,L48***00FS,L48***00FS,Australia,China,120.94,6249.851136,LCD (LED),0.19,0.0,0.0,79.95,7.0,7.01172383841875,326.0,Approved,2020-09-03,,Single product class,Unavailable,4.0,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,4.08662480051255,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1574
92859,TCL,L48E3800FS,L48***00FS,Australia,China,120.94,6249.851136,LCD (LED),0.19,0.0,0.0,79.95,7.0,7.01172383841875,326.0,Approved,2020-09-03,,Single product class,Unavailable,4.0,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,4.08662480051255,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1574
92859,TCL,L48E3900FS,L48***00FS,Australia,China,120.94,6249.851136,LCD (LED),0.19,0.0,0.0,79.95,7.0,7.01172383841875,326.0,Approved,2020-09-03,,Single product class,Unavailable,4.0,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,4.08662480051255,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1574
92859,TCL,L48S4700FS,L48***00FS,Australia,China,120.94,6249.851136,LCD (LED),0.19,0.0,0.0,79.95,7.0,7.01172383841875,326.0,Approved,2020-09-03,,Single product class,Unavailable,4.0,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,4.08662480051255,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1574
92864,SONIQ,E43V15D-AU,E43V15D-XX,"Australia,Fiji,New Zealand",China,107.987,4982.7128,LCD (LED),0.298,0.0,0.0,46.2,,,207.0,Approved,2020-10-28,,Single product class,Available,5.0,,,5.21996419491161,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1632
92864,SONIQ,E43V15D-NZ,E43V15D-XX,"Australia,Fiji,New Zealand",China,107.987,4982.7128,LCD (LED),0.298,0.0,0.0,46.2,,,207.0,Approved,2020-10-28,,Single product class,Available,5.0,,,5.21996419491161,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1632
